 # Recoil energy (kev)    Event rate (Events/second/)
   1.0000000000000000        4.9592044228740443E-012
   11.000000000000000        4.7370964633651381E-012
   21.000000000000000        4.5242862452843388E-012
   31.000000000000000        4.3204061944142040E-012
   41.000000000000000        4.1251026822377348E-012
   51.000000000000000        3.9380354329461181E-012
   61.000000000000000        3.7588770312197105E-012
   71.000000000000000        3.5873124534570125E-012
   81.000000000000000        3.4230386168688408E-012
   91.000000000000000        3.2657639448672581E-012
   101.00000000000000        3.1152079479111921E-012
   111.00000000000000        2.9711008191784060E-012
   121.00000000000000        2.8331830445139524E-012
   131.00000000000000        2.7012050261467206E-012
   141.00000000000000        2.5749267196927437E-012
   151.00000000000000        2.4541172839848468E-012
   161.00000000000000        2.3385547432858726E-012
   171.00000000000000        2.2280256614590042E-012
   181.00000000000000        2.1223248276836035E-012
   191.00000000000000        2.0212549533192126E-012
   201.00000000000000        1.9246263795339813E-012
   211.00000000000000        1.8322567953266689E-012
   221.00000000000000        1.7439709655841213E-012
   231.00000000000000        1.6596004688279955E-012
   241.00000000000000        1.5789834443162768E-012
   251.00000000000000        1.5019643481764283E-012
   261.00000000000000        1.4283937182577914E-012
   271.00000000000000        1.3581279474015139E-012
   281.00000000000000        1.2910290648363148E-012
   291.00000000000000        1.2269645254183444E-012
   301.00000000000000        1.1658070064428599E-012
   311.00000000000000        1.1074342117645892E-012
   321.00000000000000        1.0517286829726388E-012
   331.00000000000000        9.9857761737430515E-013
   341.00000000000000        9.4787269255051846E-013
   351.00000000000000        8.9950989725365587E-013
   361.00000000000000        8.5338936842624300E-013
   371.00000000000000        8.0941523412656821E-013
   381.00000000000000        7.6749546215450469E-013
   391.00000000000000        7.2754171417786128E-013
   401.00000000000000        6.8946920516635617E-013
   411.00000000000000        6.5319656794689863E-013
   421.00000000000000        6.1864572270018955E-013
   431.00000000000000        5.8574175122480436E-013
   441.00000000000000        5.5441277580083871E-013
   451.00000000000000        5.2458984249094669E-013
   461.00000000000000        4.9620680872214784E-013
   471.00000000000000        4.6920023499711221E-013
   481.00000000000000        4.4350928058885155E-013
   491.00000000000000        4.1907560307772787E-013
   501.00000000000000        3.9584326159454124E-013
   511.00000000000000        3.7375862363812455E-013
   521.00000000000000        3.5277027534042786E-013
   531.00000000000000        3.3282893505640447E-013
   541.00000000000000        3.1388737016027134E-013
   551.00000000000000        2.9590031693377730E-013
   561.00000000000000        2.7882440343607371E-013
   571.00000000000000        2.6261807524858887E-013
   581.00000000000000        2.4724152399198721E-013
   591.00000000000000        2.3265661851588361E-013
   601.00000000000000        2.1882683866537781E-013
   611.00000000000000        2.0571721153185867E-013
   621.00000000000000        1.9329425009868704E-013
   631.00000000000000        1.8152589419551359E-013
   641.00000000000000        1.7038145367795871E-013
   651.00000000000000        1.5983155375230800E-013
   661.00000000000000        1.4984808236765108E-013
   671.00000000000000        1.4040413960062413E-013
   681.00000000000000        1.3147398896050591E-013
   691.00000000000000        1.2303301054496925E-013
   701.00000000000000        1.1505765597920993E-013
   711.00000000000000        1.0752540507354040E-013
   721.00000000000000        1.0041472413681497E-013
   731.00000000000000        9.3705025885254184E-014
   741.00000000000000        8.7376630888350733E-014
   751.00000000000000        8.1410730495605421E-014
   761.00000000000000        7.5789351189815441E-014
   771.00000000000000        7.0495320314556884E-014
   781.00000000000000        6.5512233125348368E-014
   791.00000000000000        6.0824421115771048E-014
   801.00000000000000        5.6416921571549908E-014
   811.00000000000000        5.2275448307256411E-014
   821.00000000000000        4.8386363541910676E-014
   831.00000000000000        4.4736650871312544E-014
   841.00000000000000        4.1313889296427306E-014
   851.00000000000000        3.8106228268604089E-014
   861.00000000000000        3.5102363713802993E-014
   871.00000000000000        3.2291514999355102E-014
   881.00000000000000        2.9663402808085556E-014
   891.00000000000000        2.7208227885888000E-014
   901.00000000000000        2.4916650630052268E-014
   911.00000000000000        2.2779771486823901E-014
   921.00000000000000        2.0789112127800198E-014
   931.00000000000000        1.8936597375869524E-014
   941.00000000000000        1.7214537852446512E-014
   951.00000000000000        1.5615613318781347E-014
   961.00000000000000        1.4132856685100335E-014
   971.00000000000000        1.2759638662285956E-014
   981.00000000000000        1.1489653031718844E-014
   991.00000000000000        1.0316902509789153E-014
